,id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing,first_appeared_fixed,last_appeared_fixed
5196,434421,1 Tasse Kaffee HAG Filter,coffee,1,1,1,0,0,0.0,False,0.0,False,1840,1840
5197,434951,"coffee, pot or cup",coffee,1,1,1,1946,1946,0.1,False,0.15,False,1946,1946
5198,434970,ICE COFFEE,iced coffee,1,1,0,0,0,0.0,False,0.0,False,1840,1840
5199,434971,ICE COFFEE,iced coffee,1,1,1,1967,1967,0.4,False,0.4,False,1967,1967
5200,434978,"FRIED SOFT SHELL CRABS, TARTAR SAUCE, SARATOGA CHIPS, Bread and Butter, Coffee, Tea or Milk",coffee with food,1,1,1,1940,1940,0.9,False,0.9,False,1940,1940
5201,434992,Fruit - Toast - Coffee,coffee with food,1,1,1,1940,1940,0.25,False,0.25,False,1940,1940
5202,434993,Cereal-Toast-Coffee,coffee with food,1,1,1,1940,1940,0.25,False,0.25,False,1940,1940
5203,434994,Fruit- Hot cakes - Coffee,coffee with food,1,1,1,1940,1940,0.3,False,0.3,False,1940,1940
5204,434995,Cereal-Hot cakes-Coffee,coffee cake,1,1,1,1940,1940,0.3,False,0.3,False,1940,1940
5205,434996,Fruit - Hot cakes - Coffee with sausage,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5206,434997,Cereal-Hot cakes-Coffee with sausage,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5207,434998,Fruit - Hot cakes - Coffee with Creamed Beef,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5208,434999,Cereal-Hot cakes-Coffee with creamed beef,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5209,435000,Fruit - one egg - Toast  - Coffee,coffee with food,1,1,1,1940,1940,0.35,False,0.35,False,1940,1940
5210,435001,Cereal-one egg-toast-coffee,coffee with food,1,1,1,1940,1940,0.35,False,0.35,False,1940,1940
5211,435002,Fruit - two eggs - Toast  - Coffee,coffee with food,1,1,0,0,0,0.0,False,0.0,False,1840,1840
5212,435003,Fruit - two eggs - Toast  - Coffee,coffee with food,1,1,1,1940,1940,0.4,False,0.4,False,1940,1940
5213,435004,Cereal - two eggs - Toast  - Coffee,coffee with food,1,1,1,1940,1940,0.4,False,0.4,False,1940,1940
5214,435005,Fruit - Creamed Beef - Toast - Coffee,coffee with food,1,1,1,1940,1940,0.4,False,0.4,False,1940,1940
5215,435006,Cereal-Creamed Beef-Toast-Coffee,coffee with food,1,1,1,1940,1940,0.4,False,0.4,False,1940,1940
5216,435007,Fruit- Creamed Beef - Toast - Coffee with hot cakes,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5217,435008,Cereal - Creamed Beef - Toast - Coffee with hot cakes,coffee with food,1,1,1,1940,1940,0.45,False,0.45,False,1940,1940
5218,435009,Fruit- Buttered Toast - Hot Cakes - Sausage - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5219,435010,Fruit- Buttered Toast - Hot Cakes - Creamed Beef - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5220,435011,Cereal- Buttered Toast - Hot Cakes - Sausage - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5221,435012,Cereal- Buttered Toast - Hot Cakes - Creamed Beef- Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5222,435013,Fruit - Buttered Toast - 2 Eggs Bacon - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5223,435014,Fruit - Buttered Toast - 2 Eggs-Ham - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5224,435015,Cereal - Buttered Toast - 2 Eggs- Bacon - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5225,435016,Cereal - Buttered Toast - 2 Eggs-Ham - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.6,False,0.6,False,1940,1940
5226,435017,Fruit - Buttered Toast - Small Steak - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.75,False,0.75,False,1940,1940
5227,435018,Cereal - Buttered Toast - Small Steak - Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.75,False,0.75,False,1940,1940
5228,435019,Fruit - Buttered Toast -Two Lamb Chops- Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.75,False,0.75,False,1940,1940
5229,435020,Cereal - Buttered Toast - Two Lamb Chops- Fried Potatoes - Pot of Coffee,coffee with food,1,1,1,1940,1940,0.75,False,0.75,False,1940,1940
5230,435022,Ham - Potato Salad - Rolls - Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5231,435023,Tongue-Potato Salad-Rolls-Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5232,435024,Ham-Tomato Salad-Rolls-Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5233,435025,Tongue-Tomato Salad-Rolls-Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5234,435026,Cold Cuts - Potato Salad - Rolls - Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5235,435027,Cold Cuts - Tomato Salad - Rolls - Coffee,coffee with food,1,1,1,1940,1940,0.5,False,0.5,False,1940,1940
5236,435284,Instant Postum coffee,postum (coffee substitute),1,4,4,1914,1914,0.1,False,0.1,False,1914,1914
5237,435444,Large Glass Iced Coffee,iced coffee,1,1,1,1914,1914,0.15,False,0.15,False,1914,1914
5238,435665,"Iced coffee or tea, with cream, per glass",iced coffee,1,1,1,1914,1914,0.2,False,0.2,False,1914,1914
5239,435668,"Coffee, per pot, served for two with cream",coffee (pot),1,2,2,1914,1914,0.3,False,0.3,False,1914,1914
5240,435802,Pousse Cafe cordial,coffee,1,2,2,1914,1914,0.25,False,0.25,False,1914,1914
5241,435845,Chocolate or Coffee Eclair,coffee eclair,1,2,2,1914,1914,0.1,False,0.1,False,1914,1914
5242,435851,Coffee or Vanilla Parfait,coffee ice cream,1,2,2,1914,1914,0.15,False,0.15,False,1914,1914
5243,435921,Coffee or tea,coffee,1,1,1,1914,1914,0.1,False,0.15,False,1914,1914
5244,435932,"Tea or Coffee, Cup",coffee,1,2,2,1913,1914,0.1,False,0.1,False,1913,1914
5245,435933,"Tea or Coffee, Cup with Cream",coffee,1,1,1,1914,1914,0.15,False,0.15,False,1914,1914
5246,435934,"Tea or Coffee, Pot",coffee (pot),1,1,1,1914,1914,0.2,False,0.2,False,1914,1914
5247,436165,"Tea or coffee, per pot",coffee (pot),1,2,2,1914,1914,0.2,False,0.2,False,1914,1914
5248,436166,Tea or coffee,coffee,1,2,2,1913,1914,0.1,False,0.2,False,1913,1914
5249,436560,French coffee cup,french coffee,1,1,1,1914,1914,0.2,False,0.2,False,1914,1914
5250,436562,Pot special coffee,coffee (pot),1,1,1,1914,1914,0.5,False,0.8,False,1914,1914
5251,436563,Iced coffee,iced coffee,1,2,2,1914,1914,0.2,False,0.2,False,1914,1914
5252,436616,Coffee eclairs [2],coffee eclair,1,1,1,1917,1917,0.15,False,0.15,False,1917,1917
5253,436631,Cup of Coffee with Cream,coffee,1,5,5,1913,1914,0.1,False,0.15,False,1913,1914
5254,436920,"Soup, Entree, Dessert, Small coffee",coffee with food,1,1,1,1914,1914,0.5,False,0.5,False,1914,1914
5255,436985,Cappuccino- with cinnamon or chocolate,cappuccino,1,1,1,1988,1988,1.5,False,1.5,False,1988,1988
5256,437316,Coffee cup with cream,coffee,1,1,1,1914,1914,0.2,False,0.2,False,1914,1914
5257,437319,Cafe frappe au Kirsh,frappe (coffee),1,1,1,1914,1914,0.25,False,0.25,False,1914,1914
5258,437371,Large cup of coffee with cream,coffee,1,6,6,1914,1914,0.1,False,0.1,False,1914,1914
5259,437374,Small cup of coffee,coffee,1,3,3,1914,1914,0.5,False,0.5,False,1914,1914
5260,437382,"Special French Coffee, per Cup",coffee,1,1,1,1914,1914,0.25,False,0.25,False,1914,1914
5261,437383,"Coffee with cream, per Pot",coffee (pot),1,1,1,1914,1914,0.15,False,0.3,False,1914,1914
5262,437452,"Cocktail, Coffee",coffee cocktail,1,1,1,1914,1914,0.35,False,0.35,False,1914,1914
5263,437849,"Iced Tea, Hot Tea, Coffee",iced coffee,1,1,1,1988,1988,0.65,False,0.65,False,1988,1988
5264,437951,"Low-Fat Chillers- Chocolate, Pina Colada, Bananaberry, Cappucino",iced cappuccino,1,1,0,1997,1997,2.79,False,2.79,False,1997,1997
5265,438280,Freshly ground and brewed Guatemalan Antiguan coffee,coffee,1,1,0,0,0,0.0,False,0.0,False,1840,1840
5266,438281,Freshly ground and brewed Guatemalan Antiguan coffee,coffee,1,1,1,1987,1987,2.0,False,3.5,False,1987,1987
5267,438282,Freshly ground and brewed Colombian Water Process Decaffeinated Coffee,coffee (decaf),1,1,0,0,0,0.0,False,0.0,False,1840,1840
5268,438283,Freshly ground and brewed Colombian Water Process Decaffeinated Coffee,coffee (decaf),1,1,1,1987,1987,2.0,False,3.5,False,1987,1987
5269,438528,Iced tea or Coffee,iced coffee,1,1,1,1987,1987,0.95,False,0.95,False,1987,1987
5270,438649,COFFEE or Tea (hot),coffee,1,1,1,1980,1980,0.5,False,0.5,False,1980,1980
5271,438659,"One-Half Spring Chicken, Broiled or Southern Fried, served with a jar of honey, Potato, Vegetable, Chef's Salad, Bread and Butter, Coffee",coffee with food,1,1,0,0,0,0.0,False,0.0,False,1840,1840
5272,438660,"One-Half Spring Chicken, Broiled or Southern Fried, served with a jar of honey, Potato, Vegetable, Chef's Salad, Bread and Butter, Coffee",coffee with food,1,1,1,1959,1959,1.75,False,1.75,False,1959,1959
5273,438684,"French Coffee, special, service for two",coffee,1,1,1,1900,1900,0.5,False,0.5,False,1900,1900
5274,439168,"French Cinnamon Toast with Marmalade, Tea, Coffee, Individual Milk",coffee with food,1,1,1,0,0,0.45,False,0.45,False,1840,1840
5275,439440,Two Eggs with Coffee,coffee with food,1,1,1,1907,1907,0.15,False,0.15,False,1907,1907
5276,439545,"Iced Coffee, per glass",iced coffee,1,2,2,1894,1913,0.1,False,0.1,False,1894,1913
5277,439757,ICED COFFEE,iced coffee,1,1,1,1989,1989,1.25,False,1.25,False,1989,1989
5278,440283,Chocolate coffee eclairs,coffee eclair,1,1,1,1917,1917,0.2,False,0.2,False,1917,1917
