id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing
328470,"Luncheon - Turkey Hash with Green Pepper Rings, including Choice of Juice or Soup; Two Vegetables; Dessert; Coffee, Tea or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328471,"Luncheon - Cheese Toast with Bacon, including Choice of Juice or Soup; Two Vegetables; Dessert; Coffee, Tea or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328474,"Chef's Specials:  Diet Special - Broiled Lamb Chop, Lettuce Heart, Pineapple Gems, includes Bread, Butter, Coffee Tea or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328475,"Chef's Specials:  Vegetable Plate with Poached Egg, includes Bread, Butter, Coffee Tea or Milk",coffee with food,1,1,1,1940,1940,0.6,false,0.6,false
328476,"Chef's Special:  Creamed Turkey & Mushrooms en Casserole, Delmonica Potatoes, String Beans, includes Bread, Butter, Coffee Tea or Milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328477,"Chef's Special:  Extra Cut Sizzling Sirloin Steak with Grilled Onions, French Fried Potatoes, Salad, includes Bread, Butter, Coffee Tea or Milk",coffee with food,1,1,1,1940,1940,1.25,false,1.25,false
328503,"Lobster Dinner - SHRIMP OR CRABMEAT COCKTAIL, RELISHES, WHOLE BROILED LIVE LOBSTER, DRAWN BUTTER, GREEN PEAS, FRENCH FRIED POTATOES, COMBINATION SALAD, CHOICE OF DESSERTS, COFFEE, TEA, MILK",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328505,"Steak Dinner - CHOICE OF SOUP, RELISHES, BROILED SIRLOIN STEAK, HASH BROWN OR FRENCH FRIED POTATOES, BRUSSEL SPROUTS, LETTUCE AND TOMATO SALAD, CHOICE OF DESSERTS, COFFE, TEA, MILK",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328683,"Yankee Pot Roast with Noodles, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328685,"Cold Roast Lamb, String Bean Salad, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328686,"Chicken Croquette, Newburg Sauce, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328687,"Shirred Eggs a la Duane, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.65,false,0.65,false
328688,"Oyster and Scallops, Curry Sauce, Rice, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.65,false,0.65,false
328689,"Pigs Knuckle and Sauerkraut, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.65,false,0.65,false
328690,"Waffle, Beech-Nut Bacon and Honey, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328691,"Braised Ox-Tail, Printaniere, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.65,false,0.65,false
328692,"Baked Sliced Capon with Broccoli, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.85,false,0.85,false
328693,"Western Sandwich on Toast, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.55,false,0.55,false
328694,"Fresh Fruit Salad and Cottage Cheese, includes Dessert and Coffee",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328717,"Chef's Specials, includes brea, butter, coffee, tea, or milk",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
328734,"Coffee, Tea Milk",coffee,1,1,0,1940,1940,0.0,false,0.0,false
328774,"Creamed Chicken Hash Sandwich with Green Peppers on Toast, Mashed Potatoes, Milk, Tea, Coffee",coffee with food,1,1,0,1940,1940,0.0,false,0.0,false
328776,"Bacon, Tomato, Lettuce, Mayonnaise Sandwich, Mustard Pickles, Potato Chips, Milk, Tea, Coffee",coffee with food,1,1,0,1940,1940,0.35,false,0.35,false
